item name,Title,version,item,frame,order,prompt,model,output_text,reasoning_effort,reasoning_summary
Emergency Damages,Emergency Damages I,unambiguous_uncovered,1,pos,ad,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder."" Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry. Select your response to the following statement: Joanne is covered by the Emergency Damages policy. Agree or Disagree? Final answer is:",gpt-5.2-2025-12-11,"**Disagree.**

The policy covers forced-entry damage only when responders enter **because of an actual emergency or a perceived emergency involving Joanne**. Here, Joanne **knew** the crashing sounds were just her dogs playing and called police to help subdue them, so there was no genuine or reasonably perceived emergency involving her that triggered coverage under the definition.",medium,
Emergency Damages,Emergency Damages I,unambiguous_covered,1,pos,ad,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder."" Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry. Select your response to the following statement: Joanne is covered by the Emergency Damages policy. Agree or Disagree? Final answer is:",gpt-5.2-2025-12-11,Agree.,medium,
Emergency Damages,Emergency Damages I,controversial,1,pos,ad,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder."" Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry. Select your response to the following statement: Joanne is covered by the Emergency Damages policy. Agree or Disagree? Final answer is:",gpt-5.2-2025-12-11,"Agree.

The policy covers damage caused when first responders force entry due to an “emergency or perceived emergency” involving the policyholder. Joanne reported what she believed was a burglary (a perceived emergency), and the police forced entry in response to that perceived emergency. The fact that it turned out to be a false alarm does not remove it from the policy’s “perceived emergency” coverage as written.",medium,
Emergency Damages,Emergency Damages II,unambiguous_uncovered,2,pos,ad,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder."" Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry. Select your response to the following statement: Salma is covered by the Emergency Damages policy. Agree or Disagree? Final answer is:",gpt-5.2-2025-12-11,"**Disagree.**  

The policy covers damage caused when **first responders** force entry due to an emergency involving Salma. Here, the forced entry was made by **Sam (a friend/accountant), not a first responder**, so the damage does not fall within the policy’s defined “Emergency Damages” coverage.  

**Final answer: Disagree.**",medium,
Emergency Damages,Emergency Damages II,unambiguous_covered,2,pos,ad,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder."" Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry. Select your response to the following statement: Salma is covered by the Emergency Damages policy. Agree or Disagree? Final answer is:",gpt-5.2-2025-12-11,"Disagree.

The policy covers **loss or damage to the contents** of Salma’s home caused by forced entry during an emergency. The forced-entry damage here is most naturally to the **home/structure (e.g., door, lock, frame)**, which is **not “contents.”** Even though there was an emergency involving Salma, the claimed damage doesn’t fall within the defined coverage.",medium,
Emergency Damages,Emergency Damages II,controversial,2,pos,ad,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder."" Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry. Select your response to the following statement: Salma is covered by the Emergency Damages policy. Agree or Disagree? Final answer is:",gpt-5.2-2025-12-11,"**Disagree.**

Even though there was a real emergency (a burglar) involving Salma, the policy only covers damage caused when **“first responders”** force entry. Sam was an **off-duty** firefighter acting as a **private individual/friend**, not responding in an official first-responder capacity. Therefore, the forced-entry damage would likely **not** fall within the policy’s definition of “Emergency Damages.”

**Final answer: Disagree.**",medium,
Escape of Oil,Escape of Oil I,unambiguous_uncovered,3,pos,ad,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation."" As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage. Select your response to the following statement: Madison is covered by the Escape of Oil policy. Agree or Disagree? Final answer is:",gpt-5.2-2025-12-11,"Disagree.

The policy covers “oil leaking from a fixed oil-fired heating installation.” Madison’s damage came from spilling kerosene she was carrying, not from a leak in a fixed heating installation, so it doesn’t fit the defined “Escape of Oil” coverage.",medium,
Escape of Oil,Escape of Oil I,unambiguous_covered,3,pos,ad,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation."" As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage. Select your response to the following statement: Madison is covered by the Escape of Oil policy. Agree or Disagree? Final answer is:",gpt-5.2-2025-12-11,"**Agree.** The oil is leaking from a **fixed oil-fired heating installation** (her heater), which fits the policy’s definition of “Escape of Oil,” so the resulting floor damage is covered.",medium,
Escape of Oil,Escape of Oil I,controversial,3,pos,ad,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation."" As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage. Select your response to the following statement: Madison is covered by the Escape of Oil policy. Agree or Disagree? Final answer is:",gpt-5.2-2025-12-11,"**Agree.** The damage was caused by oil escaping/leaking from a **fixed oil‑fired heating installation**, which fits the policy’s definition of “Escape of Oil,” even if the escape was triggered by the friend’s mistake during a repair attempt.",medium,
Escape of Oil,Escape of Oil II,unambiguous_uncovered,4,pos,ad,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation."" Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage. Select your response to the following statement: Mariam is covered by the Escape of Oil policy. Agree or Disagree? Final answer is:",gpt-5.2-2025-12-11,"Disagree.

The policy covers oil leaking from a **fixed oil‑fired heating installation**. A **portable oil lamp** is not a fixed heating installation, so the damage would not fall within the “Escape of Oil” definition.",medium,
